Order ID,Date,Region,Store ID,Product ID,Category,Revenue,Profit,Discount,Customer ID,Age,Gender,Income,Purchase Frequency,Stock Levels,Shipping Time (days),Delivery Status,Payment Method
10513,14-03-2024 00:00,North,697,5769,Electronics,2072,1033,14,26134,52,Male,34617,15,116,9,Delayed,Credit Card
16542,20-11-2024 05:00,South,304,8350,Electronics,2994,-309,42,54154,32,Female,171149,29,475,12,Cancelled,Wallet
14119,11-08-2024 06:00,South,807,2870,Groceries,1626.9,1113,39,39795,40,Male,149504,11,5,2,In Transit,Cash
4663,14-07-2023 06:00,East,866,7163,Toys,4218,1415,27,90212,45,Female,62065,23,103,3,Delivered,UPI
15385,03-10-2024 00:00,East,756,6606,Groceries,1876.6,589,2,20665,52,Female,63200,22,147,9,Cancelled,Credit Card
7397,05-11-2023 04:00,East,457,7867,Toys,1891,1761,38,96556,45,Female,159418,6,391,13,Delayed,UPI
13417,13-07-2024 00:00,West,638,5806,Toys,770,1869,29,26053,47,Other,156788,28,192,12,Delivered,Wallet
19255,13-03-2025 06:00,South,699,6298,Home Appliances,2483,587,16,55942,68,Male,150461,26,58,12,In Transit,Wallet
6841,13-10-2023 00:00,South,527,5762,Groceries,4848,1183,5,64848,61,Female,141554,21,140,9,Cancelled,UPI
1173,18-02-2023 20:00,East,829,6788,Apparel,3610,-174,9,88947,32,nan,87691,24,126,5,Delivered,UPI
9681,08-02-2024 08:00,East,107,8969,Groceries,3214,174,27,41093,28,Male,194887,3,51,10,In Transit,UPI
3766,06-06-2023 21:00,North,504,2719,Books,4245,1288,41,14036,48,Male,196109,11,75,13,Cancelled,Credit Card
4405,03-07-2023 12:00,West,750,5690,Home Appliances,3559,918,22,50021,27,nan,41408,6,407,3,Cancelled,Wallet
14110,10-08-2024 21:00,South,480,6352,Groceries,530,253,1,83979,63,Male,120056,3,379,12,Delivered,UPI
10572,16-03-2024 11:00,East,400,9232,Electronics,3733,639,48,81349,62,Male,63595,22,154,6,Delivered,Credit Card
16929,06-12-2024 08:00,East,691,3762,Furniture,2688,459,25,24486,49,Male,66590,17,206,3,In Transit,Cash
8601,25-12-2023 08:00,North,100,5466,Electronics,400,1879,15,91980,27,Male,31324,17,276,9,Delivered,Debit Card
10694,21-03-2024 13:00,East,691,9726,Toys,3366,1284,26,24386,21,Male,142388,9,227,9,In Transit,Credit Card
37,02-01-2023 12:00,West,509,5368,Electronics,2384,219,21,41218,57,Female,20227,9,21,4,In Transit,UPI
16277,09-11-2024 04:00,South,270,4868,Electronics,1634,1180,27,10698,52,Female,160460,5,403,9,Cancelled,Debit Card
15397,03-10-2024 12:00,West,613,7492,Groceries,4637,-78,40,98650,68,Male,82474,10,142,3,Cancelled,Wallet
13939,03-08-2024 18:00,East,464,6044,Books,2081,952,14,36566,32,Male,62981,21,395,6,Cancelled,Wallet
5123,02-08-2023 10:00,West,273,2728,Groceries,1794,91,34,28541,33,Female,144083,4,305,8,Delivered,UPI
5315,10-08-2023 10:00,East,359,1881,Groceries,3242,922,14,45136,32,nan,131360,7,60,11,Delivered,Credit Card
633,27-01-2023 08:00,North,742,2458,Groceries,974,870,5,34257,65,Female,144922,25,228,8,Delivered,Wallet
2975,04-05-2023 22:00,North,892,1382,Toys,985,281,30,80461,67,Female,21881,4,180,8,Delivered,Debit Card
1581,07-03-2023 20:00,West,955,1712,Toys,4567,1169,39,41827,23,Male,129840,28,403,10,Delivered,Wallet
10771,24-03-2024 18:00,West,189,5690,Home Appliances,4239,1656,4,12527,40,Male,80966,6,116,10,Delayed,Debit Card
17500,30-12-2024 03:00,East,972,5531,Books,2766,1865,37,23683,999,Female,177828,8,236,2,Cancelled,Debit Card
9139,16-01-2024 18:00,North,460,2830,Groceries,4790,-308,30,55828,24,Female,150418,22,333,9,Delayed,Wallet
10448,11-03-2024 07:00,North,981,4320,Apparel,1567,778,45,32994,32,Other,183867,28,495,8,Delivered,Cash
8521,22-12-2023 00:00,East,330,8868,Apparel,4031.5,466,39,51444,24,Male,67335,24,307,12,Delivered,Debit Card
1989,24-03-2023 20:00,East,175,2239,Toys,1051,1864,21,79802,32,Female,133721,1,351,4,Cancelled,Credit Card
15438,05-10-2024 05:00,North,218,5456,Groceries,4392,-234,22,17479,18,Male,67869,6,345,2,Cancelled,UPI
17218,18-12-2024 09:00,South,584,7452,Toys,1341,364,47,75195,33,Female,62603,21,334,1,In Transit,Debit Card
17372,24-12-2024 19:00,East,911,4105,Apparel,3872,-12,39,79382,63,Male,51223,8,36,13,In Transit,Cash
14810,09-09-2024 01:00,East,634,1919,Toys,3950,641,0,80413,65,Female,117832,8,183,8,Delayed,Wallet
18870,25-02-2025 05:00,West,410,3803,Books,3105,591,12,77291,47,Male,84885,15,443,14,Delivered,Credit Card
19095,06-03-2025 14:00,South,212,7589,Furniture,2049,989,13,93428,59,nan,182258,20,47,1,Delayed,Cash
5019,29-07-2023 02:00,West,398,5935,Books,4312,-408,40,16865,28,Male,42172,3,266,3,Delivered,UPI
8037,01-12-2023 20:00,West,583,4359,Apparel,1088,365,11,97661,62,Female,33329,27,140,3,Delivered,Debit Card
15697,16-10-2024 00:00,East,466,3959,Toys,804,1933,20,23856,NA,Male,88749,14,181,13,Delivered,UPI
16026,29-10-2024 17:00,West,836,3415,Toys,179,-2,1,10002,42,Other,148798,17,46,9,Delayed,Wallet
12802,17-06-2024 09:00,West,451,8011,Apparel,3363.3,586,47,21945,33,Male,133470,26,460,7,In Transit,Wallet
7129,25-10-2023 00:00,North,477,5737,Electronics,398,406,47,56834,37,Female,24247,10,304,7,Delayed,Debit Card
1269,22-02-2023 20:00,North,667,6932,Apparel,1332,-284,25,81421,29,Male,135643,13,393,8,Cancelled,Debit Card
17007,09-12-2024 14:00,South,582,5743,Electronics,4587,1029,12,79624,24,Female,185561,20,428,10,Delivered,Wallet
7101,23-10-2023 20:00,West,848,4527,Electronics,666,1282,34,82007,39,Female,119800,24,470,10,Delayed,Debit Card
19626,28-03-2025 17:00,West,971,5244,Home Appliances,4050,1847,2,89802,27,Female,113418,5,389,5,Delayed,Wallet
1312,24-02-2023 15:00,South,801,1133,Electronics,1808,384,38,78644,69,Male,38716,20,425,8,Delivered,UPI
17865,14-01-2025 08:00,South,889,2531,Toys,2075,33,20,91196,63,Female,82016,14,178,1,Delayed,Debit Card
8181,07-12-2023 20:00,North,990,7272,Home Appliances,1933,944,17,13203,18,Other,26304,19,351,1,In Transit,UPI
5613,22-08-2023 20:00,East,473,7323,Furniture,212,580,36,35583,66,Male,37565,3,412,2,Delayed,Credit Card
2804,27-04-2023 19:00,West,482,4891,Furniture,807,1474,5,29253,67,Male,175846,29,350,2,Delayed,Debit Card
18251,30-01-2025 10:00,North,272,8811,Furniture,3937,1855,46,12050,41,Female,112047,26,489,13,In Transit,Credit Card
16205,06-11-2024 04:00,South,445,9412,Apparel,4710,517,37,41487,28,Female,135779,28,232,9,In Transit,Wallet
6955,17-10-2023 18:00,East,764,9902,Groceries,4064,1514,28,21907,64,Male,96492,2,211,9,Cancelled,Credit Card
9293,23-01-2024 04:00,West,889,6830,Groceries,1807,346,25,10409,58,Female,45163,16,226,10,Delivered,Debit Card
11165,10-04-2024 04:00,South,769,4589,Apparel,4654,1722,25,86631,68,Female,190997,2,386,7,In Transit,Cash
8967,09-01-2024 14:00,North,255,1165,Furniture,3211,1961,17,24789,48,Male,98829,26,284,5,In Transit,Credit Card
12499,04-06-2024 18:00,West,253,4148,Electronics,3663,191,8,30223,30,Male,187902,12,50,9,Delayed,Debit Card
3711,04-06-2023 14:00,South,665,5646,Toys,508,1413,33,13056,20,Male,52962,21,6,6,Cancelled,Cash
5099,01-08-2023 10:00,South,718,7018,Home Appliances,957,945,49,11150,18,Female,69783,22,412,13,Delivered,Debit Card
1212,20-02-2023 11:00,West,852,8065,Groceries,3145,1492,5,93568,59,Male,152243,25,496,14,Cancelled,Cash
15688,15-10-2024 15:00,West,654,4973,Groceries,2769,-468,35,33129,21,Female,197756,23,104,7,Cancelled,Debit Card
6689,06-10-2023 16:00,South,694,7616,Home Appliances,1421,1246,43,95063,34,Female,28229,16,114,12,Delayed,UPI
3185,13-05-2023 16:00,West,640,2117,Books,296,159,28,88026,66,Male,132804,28,234,1,In Transit,UPI
9506,01-02-2024 01:00,North,647,1865,Groceries,4268,1961,14,10692,21,nan,38122,4,215,8,In Transit,Debit Card
8358,15-12-2023 05:00,North,945,5232,Furniture,2318,465,15,46072,42,Female,67198,15,154,5,Delivered,Cash
4813,20-07-2023 12:00,South,491,5918,Electronics,1767.6,1369,40,44697,21,nan,159816,2,15,11,Cancelled,Debit Card
7961,28-11-2023 16:00,South,528,7006,Toys,1878.3,1057,5,82289,18,Male,64779,2,262,11,In Transit,Cash
1455,02-03-2023 14:00,North,615,8194,Electronics,1318,232,10,68922,66,Male,167429,25,123,9,Delayed,Credit Card
505,22-01-2023 00:00,East,936,2116,Apparel,4423,193,36,96765,33,Female,71915,23,471,3,In Transit,Credit Card
14303,18-08-2024 22:00,North,817,4202,Toys,3146,924,28,55436,32,Male,148366,20,342,13,Delayed,Wallet
10967,01-04-2024 22:00,West,392,7621,Furniture,2752,-378,44,85780,45,Male,163071,3,397,12,In Transit,Wallet
17926,16-01-2025 21:00,East,136,3143,Electronics,206,-442,24,85702,20,Female,158836,18,328,13,Delivered,Debit Card
8687,28-12-2023 22:00,West,263,5512,Apparel,2081,943,21,55041,57,Female,89665,8,182,10,Delivered,Credit Card
12806,17-06-2024 13:00,South,724,7001,Home Appliances,1310.4,1897,13,16906,28,Male,110279,27,306,3,Delivered,Credit Card
2433,12-04-2023 08:00,South,143,3316,Home Appliances,691,578,1,79863,63,Male,165266,1,288,14,Cancelled,Cash
6582,02-10-2023 05:00,West,142,4527,Furniture,1883,1484,16,27834,64,Other,54219,1,413,10,Delivered,UPI
6437,26-09-2023 04:00,South,185,3090,Apparel,3654,1086,32,75769,23,Female,61980,27,48,6,In Transit,Credit Card
2430,12-04-2023 05:00,East,879,8659,Apparel,2642,1172,34,79263,37,Male,169718,24,4,13,Delivered,UPI
7780,21-11-2023 03:00,South,822,6571,Books,4817,1416,5,50140,67,Male,150331,15,121,9,In Transit,Cash
19924,10-04-2025 03:00,East,838,4986,Toys,1421,103,7,28866,42,Male,192751,24,392,4,Delayed,Debit Card
12305,27-05-2024 16:00,North,268,1160,Electronics,2142,817,25,23093,67,Male,100061,20,265,12,Cancelled,Credit Card
6091,11-09-2023 18:00,South,764,8826,Electronics,2247.3,1602,31,31146,19,Male,78120,22,433,10,In Transit,Wallet
8285,12-12-2023 04:00,West,279,7290,Electronics,1030,1063,36,49126,62,Male,98487,28,133,9,In Transit,Wallet
5724,27-08-2023 11:00,North,897,1248,Apparel,3662,315,12,60103,51,Male,54958,10,296,13,Delivered,Credit Card
1794,16-03-2023 17:00,East,346,6763,Electronics,1386,-200,33,10617,36,Female,196133,20,330,6,In Transit,Cash
17562,01-01-2025 17:00,South,696,5337,Home Appliances,3219,711,39,73253,32,Female,113608,29,210,12,Delivered,Credit Card
3914,13-06-2023 01:00,North,199,3879,Electronics,4709,627,18,53051,30,Male,163372,2,299,14,Delayed,Cash
6451,26-09-2023 18:00,South,758,4106,Electronics,2029,758,20,17148,66,Female,86335,5,404,10,Delivered,Credit Card
7040,21-10-2023 07:00,South,740,1193,Groceries,4479.2,1997,20,65808,999,Male,80255,22,109,4,In Transit,Credit Card
13689,24-07-2024 08:00,North,689,6141,Electronics,832,1268,33,23117,19,Male,71789,6,410,1,Delivered,UPI
13737,26-07-2024 08:00,West,978,5504,Apparel,109,1439,4,37211,60,Female,63980,25,423,7,In Transit,Wallet
4564,10-07-2023 03:00,North,126,7486,Furniture,2880,1333,9,14578,50,Male,78332,11,35,4,Delayed,UPI
1300,24-02-2023 03:00,South,506,6259,Home Appliances,2894,254,29,65133,64,Male,101859,6,292,2,In Transit,UPI
1352,26-02-2023 07:00,West,788,3979,Books,1076,-130,10,62521,60,Other,140283,20,455,9,Delivered,UPI
16648,24-11-2024 15:00,North,989,5814,Books,4851,1409,0,66894,56,Male,115295,7,106,8,Cancelled,Debit Card
11784,05-05-2024 23:00,North,493,1120,Groceries,1161,1695,37,96780,33,Male,55815,5,383,2,In Transit,Wallet
10612,18-03-2024 03:00,West,319,7307,Electronics,517,283,14,44880,61,Female,88586,17,37,13,Delivered,Cash
3705,04-06-2023 08:00,East,673,5015,Home Appliances,778.8,600,22,63609,28,Male,189809,16,179,14,Cancelled,Credit Card
16558,20-11-2024 21:00,North,696,9718,Books,3786,603,46,57067,53,Male,72382,27,314,4,In Transit,Wallet
3090,09-05-2023 17:00,West,975,6612,Toys,3438,1609,40,37492,50,Female,80198,14,154,9,In Transit,Debit Card
2102,29-03-2023 13:00,North,545,1466,Home Appliances,4576,1472,37,87970,49,Female,178284,11,121,2,Delayed,Credit Card
7579,12-11-2023 18:00,North,785,3949,Apparel,4220,-84,27,74392,32,Other,177269,5,242,12,Cancelled,Debit Card
2459,13-04-2023 10:00,North,249,5876,Furniture,4311,105,15,49091,46,Male,138108,17,471,8,Delayed,Credit Card
13516,17-07-2024 03:00,South,358,4719,Toys,2945,851,8,91621,34,Female,52603,21,134,10,Delayed,UPI
2560,17-04-2023 15:00,South,533,5978,Groceries,4484,1484,40,42999,42,Male,194521,9,312,9,Delayed,UPI
18655,16-02-2025 06:00,East,419,4065,Furniture,1285,1519,22,28865,51,Other,164311,8,438,9,In Transit,Cash
15190,24-09-2024 21:00,North,784,8057,Electronics,3347,-53,49,77017,38,Female,198700,24,406,5,Delivered,UPI
6512,29-09-2023 07:00,West,457,7369,Electronics,1446,0,12,15787,53,Male,78632,29,197,13,Delivered,Wallet
18049,22-01-2025 00:00,South,464,8245,Apparel,4463.8,95,40,64211,25,Male,92846,22,210,14,Delivered,Debit Card
16613,23-11-2024 04:00,South,513,2790,Furniture,2183,375,6,30651,41,Female,47847,5,465,12,In Transit,Credit Card
17117,14-12-2024 04:00,East,855,6730,Home Appliances,890,-84,1,40007,64,Female,135409,20,386,13,Delayed,Wallet
7070,22-10-2023 13:00,West,260,7681,Home Appliances,4680,1375,4,81632,53,Female,50869,20,409,8,Cancelled,Wallet
1418,01-03-2023 01:00,East,872,4626,Books,1116,-132,0,23191,28,Male,41912,7,329,4,Delayed,Wallet
17025,10-12-2024 08:00,West,848,3156,Groceries,4510,1894,0,50468,51,Male,100185,19,335,8,Cancelled,UPI
5781,29-08-2023 20:00,North,800,5697,Apparel,3130,903,4,31264,41,Other,133775,24,292,12,Delivered,UPI
9181,18-01-2024 12:00,East,474,8742,Books,4174,666,31,56139,999,Male,27867,29,362,14,Delivered,Wallet
4417,04-07-2023 00:00,East,950,4974,Home Appliances,1926,1677,34,58961,61,Female,192336,27,187,7,Delayed,Wallet
16061,31-10-2024 04:00,West,389,7745,Furniture,568,-367,10,18193,33,Male,132209,9,296,4,In Transit,Debit Card
13097,29-06-2024 16:00,South,430,2417,Furniture,2836,-397,37,73823,24,Male,43768,24,193,13,Cancelled,Wallet
17484,29-12-2024 11:00,South,666,1458,Toys,168,335,10,38230,59,Female,141477,13,271,13,Cancelled,Wallet
8415,17-12-2023 14:00,West,371,2440,Electronics,414,1845,17,34053,68,Male,140125,25,225,9,Delayed,Cash
5741,28-08-2023 04:00,East,732,5191,Books,994,1532,14,33496,55,Male,191536,12,251,5,Delayed,Cash
2266,05-04-2023 09:00,North,387,1693,Apparel,939.6,1358,28,38378,63,Female,55918,8,408,7,Delivered,UPI
6021,08-09-2023 20:00,North,981,7456,Apparel,3146,1921,26,35350,38,Male,134096,27,160,11,Delayed,Credit Card
1483,03-03-2023 18:00,South,364,5794,Books,2164,9,10,45104,65,Female,131961,29,72,4,Cancelled,Wallet
7147,25-10-2023 18:00,North,779,1091,Home Appliances,377,1464,7,53606,29,Female,123117,15,188,4,Cancelled,UPI
13949,04-08-2024 04:00,South,855,8096,Groceries,3910,1354,4,39679,67,Female,103175,12,487,13,Delayed,Cash
12823,18-06-2024 06:00,West,708,7302,Groceries,4023,1551,16,32863,39,Male,114705,7,59,9,In Transit,Wallet
4426,04-07-2023 09:00,North,641,4769,Books,3690,1360,40,71606,65,Male,153325,15,39,13,Cancelled,Cash
784,02-02-2023 15:00,West,361,9276,Books,2001,1662,12,80170,58,Male,67634,14,298,12,In Transit,UPI
9885,16-02-2024 20:00,East,962,7082,Apparel,4699,-212,3,67208,47,Female,58373,7,272,9,In Transit,Debit Card
11799,06-05-2024 14:00,East,214,5439,Groceries,1384,689,41,87148,42,Male,38221,19,354,1,Delayed,UPI
15268,28-09-2024 03:00,North,229,5979,Apparel,4291.1,-474,35,57651,21,Female,59684,20,6,8,Delivered,Debit Card
4101,20-06-2023 20:00,South,100,8500,Toys,3763,1797,19,89961,50,Male,170417,3,102,3,Delivered,Cash
14835,10-09-2024 02:00,North,949,1075,Furniture,374,-64,43,80387,43,Female,79546,1,304,5,Cancelled,Cash
15194,25-09-2024 01:00,West,118,6405,Groceries,4648,87,14,19484,56,Female,119204,26,5,3,Delayed,Cash
1747,14-03-2023 18:00,West,726,3932,Books,4303,-428,34,46277,20,Female,113755,5,254,6,In Transit,UPI
422,18-01-2023 13:00,South,894,7867,Electronics,3479,90,8,41788,20,Male,57037,17,248,9,Delivered,Cash
1825,18-03-2023 00:00,North,822,9246,Home Appliances,1904,-152,27,68351,57,Male,136521,19,221,9,Delayed,Cash
2562,17-04-2023 17:00,West,941,7137,Apparel,2682,448,45,57928,54,nan,116916,2,473,5,In Transit,Debit Card
13056,27-06-2024 23:00,East,885,3989,Books,1498,112,4,32322,19,Female,23899,4,414,4,In Transit,Cash
15058,19-09-2024 09:00,South,805,5622,Electronics,4218,-70,45,69884,66,nan,165531,28,468,13,In Transit,UPI
17817,12-01-2025 08:00,North,990,9153,Apparel,2621,1257,0,11725,28,Female,55758,18,28,4,Cancelled,Credit Card
18658,16-02-2025 09:00,South,669,5326,Books,4197,278,11,95150,19,Male,147491,9,421,11,Delivered,Wallet
17690,07-01-2025 01:00,West,439,1290,Home Appliances,4604,-259,40,43109,56,Other,175471,1,225,14,Delivered,Debit Card
11666,01-05-2024 01:00,West,600,4021,Electronics,877,-235,7,46602,64,Male,64164,14,240,8,Cancelled,UPI
7738,19-11-2023 09:00,North,211,3633,Home Appliances,4727,492,45,29337,36,Male,119401,23,336,6,Delivered,Credit Card
9216,19-01-2024 23:00,East,564,3426,Books,2059,1102,24,33132,35,Female,32892,14,442,7,In Transit,Wallet
